Site ID	Location Name	County	Issue Codes	Priority
CO-BOULDER-DOROTHY-KATIE-MINES	Dorothy-Katie Mines	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-BOULDER-DOZER-MINE	Dozer Mine	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-BOULDER-EUREKA-MINE	Eureka Mine	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-BOULDER-GOOD-FRIDAY-MINE	Good Friday Mine	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-BOULDER-HALLIE-A-MINE	Hallie A Mine	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-BOULDER-HOOSIER-MINE	Hoosier Mine	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-BOULDER-PAYMASTER-MINE	Paymaster Mine	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-BOULDER-PINESHAD-MINE	Pineshad Mine	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-BOULDER-RAMBLER-MINE	Rambler Mine	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-BOULDER-RANGE-VIEW-LODE	Range View Lode Mining Claim	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-BOULDER-ROOSE-TUNNEL	Roose Tunnel	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-BOULDER-STEEL-PLATE-MINE	Steel Plate Mine	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-BOULDER-VASCO-NO-1-MINE	Vasco No. 1 Mine	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-BOULDER-VASCO-NO-7-MINE	Vasco No. 7 Mine	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-BOULDER-WILD-TIGER-MINE	Wild Tiger Mine	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-BOULDER-WORLD-MINE	World Mine	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-BROOMFIELD-BROOMFIELD-DI-CS-DEPOT	Broomfield Denver & Interurban / Colorado & Southern Railway Depot	Broomfield	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-ALASKA-MINE	Alaska Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-ALDERMAN-DEPOSIT	Alderman Deposit	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-ALLARD-BERYLLIUM	Allard Beryllium Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-ALPHA-BETA	Alpha and Beta Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-AMERICAN-FLAG-MINE	American Flag Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-ANNA-HUFFMAN-COPPER	Anna Huffman Copper	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-ANNIE-C-MINE	Annie C Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-APRIL-FOOL-MINE	April Fool Mine (Chaffee County)	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-ATLANTIC-MOUND-INDEPENDENCE	Atlantic / Mound / Independence	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-BANCROFT	Bancroft	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-BE-TRUE-MINE	Be True Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-BEN-BOLTS-PAYMASTER	Ben Bolts Paymaster	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-BEN-BOYER-CLAIM	Ben Boyer Claim	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-BEN-HILL-MINE	Ben Hill Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-BETSY	Betsy	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-BLACK-TIGER-MINE	Black Tiger Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-BLUE-BRUTE-MINE	Blue Brute Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-BLUE-STONE-DEPOSIT	Blue Stone Deposit	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-BONNIE-BELLE-MINE	Bonnie Belle Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-BOSS-LAKE-MINE	Boss Lake Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-BRIGHTON-MINE	Brighton Mine (Chaffee County)	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-BUCKHORN-TUNNEL	Buckhorn Tunnel	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-CALUMET-MINE	Calumet Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-CHIMNEY-HILL-MINE	Chimney Hill Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-CLEORA-NO-2-PROSPECT	Cleora No. 2 Prospect	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-CLINTON-MINE	Clinton Mine (Chaffee County)	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-COLORADO-AMERICAN	Colorado-American Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-COLUMBINE-MINE	Columbine Mine (Chaffee County)	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-COLUMBUS-MINE	Columbus Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-COPPER-KING-LODE	Copper King Lode	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-CRYSTAL-NO-8-MINE	Crystal No. 8 Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-DARLING-MINE	Darling Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-DELAY-ADIT-LLOYD-SHAFT	Delay Adit and Lloyd Shaft	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-ECLIPSE-MINE	Eclipse Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-ELKINGTON-MINE	Elkington Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
